,movie,year,imdb,metascore,votes
654, Roma,2018,7.7,96,169K
655, Halloween,2018,6.5,67,168K
656, The Ballad of Buster Scruggs,2018,7.2,79,167K
657, Soldado: The Soldier,2018,7.1,61,166K
658, Bad Times at the El Royale,2018,7.1,60,164K
659, A Simple Favor,2018,6.8,67,162K
660,Joker,2019,8.4,59,1.5M
661,Avengers: Endgame,2019,8.4,78,1.3M
662,Parasite,2019,8.5,97,949K
663,Once Upon a Time... in Hollywood,2019,7.6,84,841K
664,Knives Out,2019,7.9,82,770K
665,1917,2019,8.2,78,670K
666,Captain Marvel,2019,6.8,64,608K
667, Spider-Man: Far from Home,2019,7.4,69,553K
668, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
669, Ford v Ferrari,2019,8.1,81,465K
670, Jojo Rabbit,2019,7.9,58,439K
671, The Irishman,2019,7.8,94,429K
672, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
673, Midsommar,2019,7.1,72,399K
674, The Gentlemen,2019,7.8,51,391K
675, Shazam!,2019,7.0,71,383K
676, Marriage Story,2019,7.9,94,345K
677, Us,2019,6.8,81,339K
678, Uncut Gems,2019,7.4,93,316K
679, It Chapter Two,2019,6.5,58,300K
680, Alita: Battle Angel,2019,7.3,53,292K
681, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
682, Aladdin,2019,6.9,53,289K
683, Jumanji: The Next Level,2019,6.7,58,281K
684, Toy Story 4,2019,7.7,84,279K
685, El hoyo,2019,7.0,73,270K
686, The Lion King,2019,6.8,55,266K
687, Glass,2019,6.6,43,266K
688, Ad Astra,2019,6.5,80,259K
689, The Lighthouse,2019,7.4,83,253K
690, Little Women,2019,7.8,91,243K
691, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
692, Doctor Sleep,2019,7.3,59,217K
693, Dark Phoenix,2019,5.7,43,204K
694, Godzilla: King of the Monsters,2019,6.0,48,204K
695, Zombieland: Double Tap,2019,6.7,55,201K
696, 6 Underground,2019,6.1,41,196K
697, Rocketman,2019,7.3,69,194K
698, Frozen II,2019,6.8,64,193K
699,Tenet,2020,7.3,69,588K
700,Soul,2020,8.0,83,377K
701,Wonder Woman 1984,2020,5.4,60,291K
702,A Quiet Place Part II,2020,7.2,71,271K
703,Birds of Prey,2020,6.1,60,264K
704,Extraction,2020,6.8,56,261K
705,The Invisible Man,2020,7.1,72,254K
706, Enola Holmes,2020,6.6,68,218K
707, Promising Young Woman,2020,7.5,72,210K
708, Druk,2020,7.7,79,193K
709, The Trial of the Chicago 7,2020,7.7,76,193K
710, The Father,2020,8.2,88,191K
711, The Old Guard,2020,6.7,70,183K
712, Nomadland,2020,7.3,88,182K
713, Palm Springs,2020,7.4,83,181K
714, Bad Boys for Life,2020,6.5,59,174K
715, Onward,2020,7.4,61,169K
716, Mulan,2020,5.8,66,159K
717, Sonic the Hedgehog,2020,6.5,47,158K
718, Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6.6,68,153K
719, The Devil All the Time,2020,7.1,55,152K
720, I Care a Lot,2020,6.4,66,145K
721, Love and Monsters,2020,6.9,63,145K
722, Greenland,2020,6.4,64,133K
723, The Hunt,2020,6.5,50,128K
724, Greyhound,2020,7.0,64,114K
725, Hamilton,2020,8.3,88,112K
726, Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,102K
727, I'm Thinking of Ending Things,2020,6.6,78,99K
728, Project Power,2020,6.0,51,97K
729, Spenser Confidential,2020,6.2,49,97K
730, Underwater,2020,5.9,48,97K
731, Minari,2020,7.4,89,96K
732, News of the World,2020,6.8,73,95K
733,Spider-Man: No Way Home,2021,8.2,71,872K
734,Dune,2021,8.0,74,824K
735,Don't Look Up,2021,7.2,49,598K
736,No Time to Die,2021,7.3,68,443K
737,Zack Snyder's Justice League,2021,7.9,54,436K
738,Shang-Chi and the Legend of the Ten Rings,2021,7.4,71,433K
739,Black Widow,2021,6.7,68,423K
740,Free Guy,2021,7.1,62,422K
741, The Suicide Squad,2021,7.2,72,406K
742, Eternals,2021,6.3,52,384K
743, Nobody,2021,7.4,64,322K
744, Red Notice,2021,6.3,37,316K
745, The Matrix Resurrections,2021,5.7,63,278K
746, Cruella,2021,7.3,59,264K
747, Encanto,2021,7.2,75,260K
748, Venom: Let There Be Carnage,2021,5.9,49,257K
749, Godzilla vs. Kong,2021,6.3,59,236K
750, The Tomorrow War,2021,6.6,45,227K
751, Ghostbusters: Afterlife,2021,7.0,45,213K
752, Jungle Cruise,2021,6.6,50,211K
753, Wrath of Man,2021,7.1,57,205K
754, The Power of the Dog,2021,6.8,89,193K
755, Luca,2021,7.4,71,192K
756, The Black Phone,2021,6.9,65,191K
757, Mortal Kombat,2021,6.0,44,189K
758, Army of the Dead,2021,5.8,57,187K
759, The Last Duel,2021,7.4,67,181K
760, Last Night in Soho,2021,7.0,65,175K
761, The King's Man,2021,6.3,44,172K
762, Raya and the Last Dragon,2021,7.3,74,171K
763, Nightmare Alley,2021,7.0,70,164K
764, CODA,2021,8.0,72,163K
765, Fast & Furious 9,2021,5.2,58,161K
766, Old,2021,5.8,55,159K
767, House of Gucci,2021,6.6,59,159K
768, The French Dispatch,2021,7.1,75,150K
769,The Batman,2022,7.8,72,779K
770,Top Gun: Maverick,2022,8.2,78,686K
771,Everything Everywhere All at Once,2022,7.8,81,527K
772,Avatar: The Way of Water,2022,7.6,67,489K
773,Doctor Strange in the Multiverse of Madness,2022,6.9,60,474K
774,Glass Onion: A Knives Out Mystery,2022,7.1,81,437K
775,Bullet Train,2022,7.3,49,420K
776,Thor: Love and Thunder,2022,6.2,57,398K
777, The Menu,2022,7.2,71,387K
778, Black Panther 2: Wakanda Forever,2022,6.7,67,303K
779, Black Adam,2022,6.2,41,272K
780, Nope,2022,6.8,77,262K
781, Uncharted,2022,6.3,45,256K
782, The Northman,2022,7.0,82,251K
783, The Banshees of Inisherin,2022,7.7,87,250K
784, All Quiet on the Western Front,2022,7.8,76,243K
785, The Gray Man,2022,6.5,49,236K
786, Elvis,2022,7.3,64,232K
787, The Adam Project,2022,6.7,55,230K
788, Prey,2022,7.1,71,225K
789, The Whale,2022,7.7,60,208K
790, Jurassic World Dominion,2022,5.6,38,203K
791, Death on the Nile,2022,6.3,52,187K
792, Laal Singh Chaddha,2022,5.6,46,178K
793, Barbarian,2022,7.0,78,178K
794, Triangle of Sadness,2022,7.3,63,176K
795, Puss in Boots: The Last Wish,2022,7.8,73,172K
796, X,2022,6.5,80,170K
797, Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,169K
798, RRR,2022,7.8,83,166K
799, Babylon,2022,7.1,61,165K
800, Scream,2022,6.3,60,158K
801, The Lost City,2022,6.1,60,157K
802, Smile,2022,6.5,68,156K
803, A Man Called Otto,2022,7.5,51,156K
804, Morbius,2022,5.1,35,152K
805, Turning Red,2022,7.0,83,151K
806,Oppenheimer,2023,8.3,90,691K
807,Barbie,2023,6.9,80,519K
808,Guardians of the Galaxy Volume 3,2023,7.9,64,376K
809,Spider-Man: Across the Spider-Verse,2023,8.6,86,359K
810,John Wick: Chapter 4,2023,7.7,78,329K
811,Mission: Impossible - Dead Reckoning Part One,2023,7.7,81,241K
812,The Super Mario Bros. Movie,2023,7.0,46,233K
813,Killers of the Flower Moon,2023,7.6,89,227K
814, Ant-Man and the Wasp: Quantumania,2023,6.1,48,225K
815, Dungeons & Dragons: Honor Among Thieves,2023,7.2,72,222K
816, The Flash,2023,6.7,55,207K
817, Poor Things,2023,8.0,88,200K
818, Indiana Jones and the Dial of Destiny,2023,6.5,58,195K
819, Saltburn,2023,7.0,61,194K
820, Leave the World Behind,2023,6.5,68,190K
821, The Killer,2023,6.7,73,178K
822, Air,2023,7.4,73,165K
823, The Covenant,2023,7.5,63,159K
824, Pathaan,2023,5.8,47,156K
825, No Hard Feelings,2023,6.4,59,155K
826, The Little Mermaid,2023,7.2,59,154K
827, The Creator,2023,6.8,63,154K
828, Extraction II,2023,7.0,57,145K
829, Evil Dead Rise,2023,6.5,69,135K
830, Napoleon,2023,6.4,64,129K
831, The Holdovers,2023,8.0,82,126K
832, Shazam! Fury of the Gods,2023,5.9,47,123K
833, Wonka,2023,7.1,66,123K
834, Elemental,2023,7.0,58,123K
835, La sociedad de la nieve,2023,7.8,72,122K
836, The Marvels,2023,5.6,50,119K
837, Scream VI,2023,6.5,61,118K
838, Fast X,2023,5.8,56,117K
839, Knock at the Cabin,2023,6.1,63,114K
840, Sound of Freedom,2023,7.7,36,111K
841, Asteroid City,2023,6.5,75,110K
842, A Haunting in Venice,2023,6.5,63,109K
843, The Hunger Games: The Ballad of Songbirds & Snakes,2023,6.8,54,108K
844, The Equalizer 3,2023,6.8,58,107K
